alg,dset,set,time,acc,logp
svgd,banana,0,21.394207000732422,0.4575,-0.7059256138652563
nuts,banana,0,2.473480224609375,0.4825,-0.6991107199341059
svgd,banana,1,17.274709701538086,0.5725,-0.6784037106484174
nuts,banana,1,2.251494884490967,0.5875,-0.6788772675395012
svgd,banana,2,17.282073736190796,0.5225,-0.6917160097509623
nuts,banana,2,2.2124688625335693,0.5525,-0.6892190686613321
svgd,banana,3,17.301054000854492,0.54,-0.6841641460359097
nuts,banana,3,2.276732921600342,0.575,-0.682473996207118
svgd,banana,4,17.34195303916931,0.55,-0.684600214138627
nuts,banana,4,2.2425661087036133,0.58,-0.6807349220663309
svgd,image,0,21.225268125534058,0.8323076923076923,-0.4207686955308068
nuts,image,0,3.932055950164795,0.8415384615384616,-0.4210667986199832
svgd,image,1,19.227546215057373,0.8346153846153846,-0.4164333983534016
nuts,image,1,3.1425580978393555,0.84,-0.4162909199662793
svgd,image,2,19.21992516517639,0.8176923076923077,-0.449779839503552
nuts,image,2,3.321239948272705,0.8223076923076923,-0.443909088462824
svgd,image,3,19.136661052703857,0.8284615384615385,-0.42019544408694715
nuts,image,3,3.2426931858062744,0.8261538461538461,-0.41750230790465137
svgd,image,4,19.159190893173218,0.8369230769230769,-0.4246536175969343
nuts,image,4,3.5518229007720947,0.8392307692307692,-0.4243709107937712
svgd,ringnorm,0,25.083044052124023,0.765,-0.5190029489505105
nuts,ringnorm,0,3.1492080688476562,0.7575,-0.5170535958581604
svgd,ringnorm,1,23.110645055770874,0.765,-0.5347486320410099
nuts,ringnorm,1,2.9000000953674316,0.755,-0.533015553215082
svgd,ringnorm,2,22.72399878501892,0.735,-0.5173936292808503
nuts,ringnorm,2,2.8797760009765625,0.735,-0.517549637631746
svgd,ringnorm,3,22.785041093826294,0.7725,-0.48523342570872047
nuts,ringnorm,3,2.8896398544311523,0.77,-0.48495688091104966
svgd,ringnorm,4,23.17620301246643,0.775,-0.5157901743089315
nuts,ringnorm,4,3.0495858192443848,0.78,-0.516125855424325
svgd,splice,0,30.82948398590088,0.809,-0.5613107020259747
nuts,splice,0,13.65636920928955,0.822,-0.3887903922411424
svgd,splice,1,28.411070346832275,0.818,-0.4683500829179584
nuts,splice,1,10.95479702949524,0.858,-0.3463483429185871
svgd,splice,2,28.35271406173706,0.841,-0.45375298290134247
nuts,splice,2,10.41581392288208,0.844,-0.3443926793267019
svgd,splice,3,29.284045934677124,0.832,-0.4096258614056448
nuts,splice,3,12.806098937988281,0.859,-0.3177318511556441
svgd,splice,4,30.49338698387146,0.814,-0.485299542343505
nuts,splice,4,13.30299997329712,0.83,-0.3564684554836713
svgd,titanic,0,18.45177912712097,0.8,-0.48375874986251194
nuts,titanic,0,2.1211020946502686,0.8,-0.4831316261490186
svgd,titanic,1,16.48441982269287,0.7733333333333333,-0.5279482276240984
nuts,titanic,1,1.9737660884857178,0.7733333333333333,-0.5292791286110878
svgd,titanic,2,16.622750997543335,0.78,-0.5287424182891846
nuts,titanic,2,1.9669430255889893,0.78,-0.5255964869260787
svgd,titanic,3,16.484028339385986,0.8066666666666666,-0.48713342706362406
nuts,titanic,3,1.9828870296478271,0.8066666666666666,-0.4908506190776825
svgd,titanic,4,16.60540509223938,0.7933333333333333,-0.49554035435120264
nuts,titanic,4,1.9813520908355713,0.7933333333333333,-0.49661691268285113
svgd,twonorm,0,23.163299083709717,0.97,-0.07235912793153791
nuts,twonorm,0,2.881671190261841,0.97,-0.07334139804721063
svgd,twonorm,1,22.93129587173462,0.9725,-0.06957181594048226
nuts,twonorm,1,2.9783761501312256,0.9725,-0.07060076390764293
svgd,twonorm,2,23.116867780685425,0.9775,-0.06535924687762654
nuts,twonorm,2,2.8877861499786377,0.9775,-0.06515596400428758
svgd,twonorm,3,22.804919958114624,0.9725,-0.0800490243563034
nuts,twonorm,3,3.0728659629821777,0.97,-0.07986044747304517
svgd,twonorm,4,22.907854080200195,0.975,-0.06350050758717157
nuts,twonorm,4,2.9887049198150635,0.975,-0.06277575743505893
svgd,waveform,0,23.81672191619873,0.8925,-0.23613806486916233
nuts,waveform,0,4.629231214523315,0.9,-0.23206168488874482
svgd,waveform,1,22.201719760894775,0.845,-0.2946118724083405
nuts,waveform,1,4.8262038230896,0.85,-0.2932401895351076
svgd,waveform,2,21.742304801940918,0.89,-0.23678407278668614
nuts,waveform,2,4.784105062484741,0.895,-0.23608933983514832
svgd,waveform,3,21.81182312965393,0.8875,-0.2611519352816828
nuts,waveform,3,5.062298059463501,0.8975,-0.2604553425269157
svgd,waveform,4,21.839765071868896,0.855,-0.3023532601124269
nuts,waveform,4,4.357425928115845,0.8625,-0.30384976196366736
svgd_orig,banana,0,4.4043378829956055,0.63,-0.688238446044783
svgd_orig,banana,1,4.339856863021851,0.5575,-0.6873815117381935
svgd_orig,banana,2,4.317885160446167,0.55,-0.6870255684158088
svgd_orig,banana,3,4.375124931335449,0.565,-0.6853583241364851
svgd_orig,banana,4,4.374411106109619,0.5825,-0.6825386812043251
svgd_orig,image,0,6.837754726409912,0.8353846153846154,-0.4266954671017698
svgd_orig,image,1,7.082180976867676,0.8307692307692308,-0.4157335044124076
svgd_orig,image,2,6.841913223266602,0.8115384615384615,-0.4521341291398828
svgd_orig,image,3,6.905087947845459,0.8276923076923077,-0.419617815332284
svgd_orig,image,4,6.915140151977539,0.8323076923076923,-0.4207195292311361
svgd_orig,ringnorm,0,7.215595006942749,0.76,-0.5280925438584037
svgd_orig,ringnorm,1,7.216378211975098,0.76,-0.5508476737355991
svgd_orig,ringnorm,2,7.231154203414917,0.75,-0.5209912924851815
svgd_orig,ringnorm,3,7.377444744110107,0.7775,-0.5022138530604028
svgd_orig,ringnorm,4,7.336180925369263,0.7625,-0.528068803388549
svgd_orig,splice,0,14.013976097106934,0.818,-0.5461157497259367
svgd_orig,splice,1,14.005263090133667,0.824,-0.5586702111220809
svgd_orig,splice,2,13.80296778678894,0.843,-0.4590327050884797
svgd_orig,splice,3,14.047214031219482,0.781,-0.6644353871098934
svgd_orig,splice,4,13.93773078918457,0.805,-0.660789788020182
